Letter,Year
A,1963
B,1964
C,1965
D,1966
E,1967
F,1967
G,1968
H,1969
J,1970
K,1971
L,1972
M,1973
N,1974
P,1975
R,1976
S,1977
T,1978
V,1979
W,1980
X,1981
Y,1982
A,1983
B,1984
C,1985
D,1986
E,1987
F,1988
G,1989
H,1990
J,1991
K,1992
L,1993
M,1994
N,1995
P,1996
R,1997
S,1998
T,1999
V,1999
W,2000
X,2000
Y,2001
51,2001
02,2002
52,2002
03,2003
53,2003
04,2004
54,2004
05,2005
55,2005
56,2006
06,2006
07,2007
57,2007
08,2008
58,2008
59,2009
09,2009
60,2010
10,2010
61,2011
11,2011
62,2012
12,2012
63,2013
13,2013
64,2014
14,2014
65,2015
15,2015
16,2016
66,2016
67,2017
17,2017
18,2018
68,2018
19,2019
69,2019
70,2020
20,2020
21,2021
71,2021
72,2022
22,2022
73,2023
23,2023
74,2024
24,2024
25,2025
75,2025
26,2026
76,2026
27,2027
77,2027
78,2028
28,2028
29,2029
79,2029
80,2030
30,2030
31,2031
81,2031
32,2032
82,2032
33,2033
83,2033
34,2034
84,2034
85,2035
35,2035
36,2036
86,2036
87,2037
37,2037
38,2038
88,2038
39,2039
89,2039
40,2040
90,2040
41,2041
91,2041
92,2042
42,2042
93,2043
43,2043
94,2044
44,2044
95,2045
45,2045
96,2046
46,2046
97,2047
47,2047
98,2048
48,2048
99,2049
49,2049
50,2050
0,2050
