Letter,Dates of issue,Year
A,February 1963,1963
B,1 January 1964 – 31 December 1964,1964
C,1 January 1965 – 31 December 1965,1965
D,1 January 1966 – 31 December 1966,1966
E,1 January 1967 – 31 July 1967,1967
F,1 August 1967 – 31 July 1968,1967
G,1 August 1968 – 31 July 1969,1968
H,1 August 1969 – 31 July 1970,1969
J,1 August 1970 – 31 July 1971,1970
K,1 August 1971 – 31 July 1972,1971
L,1 August 1972 – 31 July 1973,1972
M,1 August 1973 – 31 July 1974,1973
N,1 August 1974 – 31 July 1975,1974
P,1 August 1975 – 31 July 1976,1975
R,1 August 1976 – 31 July 1977,1976
S,1 August 1977 – 31 July 1978,1977
T,1 August 1978 – 31 July 1979,1978
V,1 August 1979 – 31 July 1980,1979
W,1 August 1980 – 31 July 1981,1980
X,1 August 1981 – 31 July 1982,1981
Y,1 August 1982 – 31 July 1983,1982
A,1 August 1983 – 31 July 1984,1983
B,1 August 1984 – 31 July 1985,1984
C,1 August 1985 – 31 July 1986,1985
D,1 August 1986 – 31 July 1987,1986
E,1 August 1987 – 31 July 1988,1987
F,1 August 1988 – 31 July 1989,1988
G,1 August 1989 – 31 July 1990,1989
H,1 August 1990 – 31 July 1991,1990
J,1 August 1991 – 31 July 1992,1991
K,1 August 1992 – 31 July 1993,1992
L,1 August 1993 – 31 July 1994,1993
M,1 August 1994 – 31 July 1995,1994
N,1 August 1995 – 31 July 1996,1995
P,1 August 1996 – 31 July 1997,1996
R,1 August 1997 – 31 July 1998,1997
S,1 August 1998 – 28 February 1999,1998
T,1 March 1999 – 31 August 1999,1999
V,1 September 1999 – 29 February 2000,1999
W,1 March 2000 – 31 August 2000,2000
X,1 September 2000 – 28 February 2001,2000
Y,1 March 2001 – 31 August 2001,2001
